epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.8924,1.32769,0.61429,1,0.94931,0.00984733,0.00328244,0.00984733,0.00328244,0.00984733,0.00328244,0.00984733,0.00328244
2,20.1265,0.94939,0.69286,1,0.93996,0.0199043,0.00663477,0.0199043,0.00663477,0.0199043,0.00663477,0.0199043,0.00663477
3,27.3006,0.8019,0.66429,1,0.8754,0.0299417,0.00998057,0.0299417,0.00998057,0.0299417,0.00998057,0.0299417,0.00998057
4,33.7248,0.77936,0.75714,1,0.7488,0.0299126,0.00997086,0.0299126,0.00997086,0.0299126,0.00997086,0.0299126,0.00997086
5,39.7933,0.71259,0.7,1,0.7808,0.0298834,0.00996114,0.0298834,0.00996114,0.0298834,0.00996114,0.0298834,0.00996114
6,45.8895,0.78122,0.73571,1,0.78534,0.0298543,0.00995143,0.0298543,0.00995143,0.0298543,0.00995143,0.0298543,0.00995143
7,51.9712,0.70248,0.75714,1,0.8188,0.0298251,0.00994171,0.0298251,0.00994171,0.0298251,0.00994171,0.0298251,0.00994171
8,58.182,0.6299,0.67143,1,0.84379,0.029796,0.009932,0.029796,0.009932,0.029796,0.009932,0.029796,0.009932
9,64.2204,0.6497,0.81429,1,0.9151,0.0297668,0.00992228,0.0297668,0.00992228,0.0297668,0.00992228,0.0297668,0.00992228
10,69.3003,0.64335,0.64286,1,0.97761,0.0297377,0.00991257,0.0297377,0.00991257,0.0297377,0.00991257,0.0297377,0.00991257
11,74.9341,0.65838,0.77143,1,0.78269,0.0297086,0.00990285,0.0297086,0.00990285,0.0297086,0.00990285,0.0297086,0.00990285
12,81.0877,0.5674,0.7,1,0.82569,0.0296794,0.00989314,0.0296794,0.00989314,0.0296794,0.00989314,0.0296794,0.00989314
13,87.5122,0.6329,0.7,1,0.8739,0.0296503,0.00988342,0.0296503,0.00988342,0.0296503,0.00988342,0.0296503,0.00988342
14,93.689,0.59656,0.75714,1,1.01303,0.0296211,0.00987371,0.0296211,0.00987371,0.0296211,0.00987371,0.0296211,0.00987371
15,99.743,0.53813,0.70714,1,0.87394,0.029592,0.00986399,0.029592,0.00986399,0.029592,0.00986399,0.029592,0.00986399
16,105.941,0.55002,0.72857,1,0.88133,0.0295628,0.00985428,0.0295628,0.00985428,0.0295628,0.00985428,0.0295628,0.00985428
17,111.909,0.53726,0.74286,1,1.21228,0.0295337,0.00984456,0.0295337,0.00984456,0.0295337,0.00984456,0.0295337,0.00984456
18,118.06,0.5715,0.73571,1,0.84657,0.0295045,0.00983485,0.0295045,0.00983485,0.0295045,0.00983485,0.0295045,0.00983485
19,124.574,0.52332,0.74286,1,0.93879,0.0294754,0.00982513,0.0294754,0.00982513,0.0294754,0.00982513,0.0294754,0.00982513
20,129.631,0.46621,0.74286,1,1.0397,0.0294463,0.00981542,0.0294463,0.00981542,0.0294463,0.00981542,0.0294463,0.00981542
21,134.082,0.50989,0.69286,1,0.94493,0.0294171,0.0098057,0.0294171,0.0098057,0.0294171,0.0098057,0.0294171,0.0098057
22,138.517,0.51724,0.73571,1,0.97852,0.029388,0.00979599,0.029388,0.00979599,0.029388,0.00979599,0.029388,0.00979599
