epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.8924,1.33059,0.60714,1,0.93641,0.000261055,0.000261055,0.000261055
2,21.1378,0.88108,0.6,1,1.08124,0.000527138,0.000527138,0.000527138
3,27.843,0.80137,0.74286,1,0.78235,0.000792167,0.000792167,0.000792167
4,34.5798,0.78627,0.72143,1,0.90251,0.00105614,0.00105614,0.00105614
5,41.1484,0.78787,0.66429,1,0.83691,0.00110223,0.00110223,0.00110223
6,47.7029,0.73177,0.69286,1,0.85645,0.00110004,0.00110004,0.00110004
7,54.2961,0.68337,0.7,1,0.97604,0.00109784,0.00109784,0.00109784
8,60.848,0.74312,0.64286,1,0.90045,0.00109565,0.00109565,0.00109565
9,67.419,0.65642,0.70714,1,0.82096,0.00109346,0.00109346,0.00109346
10,73.9811,0.72654,0.74286,1,0.94769,0.00109127,0.00109127,0.00109127
11,80.6807,0.65135,0.74286,1,0.72927,0.00108907,0.00108907,0.00108907
12,87.3221,0.61329,0.72857,1,0.77446,0.00108688,0.00108688,0.00108688
13,94.1452,0.67271,0.72857,1,0.68491,0.00108469,0.00108469,0.00108469
14,100.772,0.63449,0.74286,1,0.64888,0.0010825,0.0010825,0.0010825
15,107.404,0.59917,0.7,1,0.77863,0.0010803,0.0010803,0.0010803
16,114.264,0.57723,0.72857,1,0.67267,0.00107811,0.00107811,0.00107811
17,120.868,0.5485,0.70714,1,0.79196,0.00107592,0.00107592,0.00107592
18,127.468,0.5166,0.75714,1,0.65293,0.00107373,0.00107373,0.00107373
19,134.095,0.41595,0.75,1,0.73319,0.00107153,0.00107153,0.00107153
20,140.699,0.45933,0.72857,1,0.87196,0.00106934,0.00106934,0.00106934
21,147.342,0.4504,0.69286,1,0.81948,0.00106715,0.00106715,0.00106715
22,154.003,0.44131,0.7,1,0.7716,0.00106496,0.00106496,0.00106496
23,160.569,0.45002,0.72857,1,0.75948,0.00106276,0.00106276,0.00106276
24,167.187,0.44818,0.67857,1,0.78454,0.00106057,0.00106057,0.00106057
25,173.749,0.40871,0.68571,1,0.7649,0.00105838,0.00105838,0.00105838
26,180.345,0.40217,0.70714,1,0.64442,0.00105619,0.00105619,0.00105619
27,187.021,0.4036,0.69286,1,0.78584,0.00105399,0.00105399,0.00105399
28,193.596,0.34719,0.75,1,0.84647,0.0010518,0.0010518,0.0010518
29,200.181,0.49797,0.72143,1,0.9399,0.00104961,0.00104961,0.00104961
30,206.846,0.38544,0.75,1,0.83924,0.00104742,0.00104742,0.00104742
31,213.448,0.3994,0.72143,1,0.85612,0.00104522,0.00104522,0.00104522
32,220.043,0.38006,0.75,1,0.64013,0.00104303,0.00104303,0.00104303
33,226.711,0.37043,0.77143,1,0.65184,0.00104084,0.00104084,0.00104084
34,233.416,0.39733,0.70714,1,0.96038,0.00103865,0.00103865,0.00103865
35,240.135,0.41474,0.69286,1,0.84611,0.00103645,0.00103645,0.00103645
36,246.773,0.41648,0.71429,1,0.8279,0.00103426,0.00103426,0.00103426
37,253.425,0.37383,0.68571,1,0.88558,0.00103207,0.00103207,0.00103207
38,260.114,0.3094,0.66429,1,0.96538,0.00102988,0.00102988,0.00102988
39,266.753,0.32313,0.75714,1,0.94639,0.00102768,0.00102768,0.00102768
40,273.393,0.31531,0.75714,1,0.87595,0.00102549,0.00102549,0.00102549
41,280.026,0.30052,0.70714,1,0.99888,0.0010233,0.0010233,0.0010233
42,286.663,0.25735,0.70714,1,0.88929,0.00102111,0.00102111,0.00102111
43,293.287,0.26797,0.69286,1,0.86449,0.00101891,0.00101891,0.00101891
44,299.924,0.2507,0.76429,1,0.85611,0.00101672,0.00101672,0.00101672
45,306.671,0.2962,0.77857,1,0.77026,0.00101453,0.00101453,0.00101453
46,313.403,0.25397,0.76429,1,0.89531,0.00101234,0.00101234,0.00101234
47,320.032,0.24884,0.78571,1,0.79795,0.00101014,0.00101014,0.00101014
48,326.791,0.2884,0.73571,1,0.83105,0.00100795,0.00100795,0.00100795
49,333.425,0.25402,0.69286,1,0.7781,0.00100576,0.00100576,0.00100576
50,340.099,0.28745,0.72143,1,0.87534,0.00100357,0.00100357,0.00100357
51,346.78,0.27052,0.76429,1,0.77485,0.00100137,0.00100137,0.00100137
52,353.517,0.2782,0.75,1,0.71269,0.000999182,0.000999182,0.000999182
53,360.479,0.27863,0.71429,1,0.93362,0.000996989,0.000996989,0.000996989
54,367.329,0.24727,0.8,1,0.70875,0.000994797,0.000994797,0.000994797
55,374.776,0.27484,0.74286,1,0.835,0.000992604,0.000992604,0.000992604
56,381.772,0.21533,0.76429,1,0.74687,0.000990412,0.000990412,0.000990412
57,388.784,0.26196,0.74286,1,0.93733,0.000988219,0.000988219,0.000988219
58,395.495,0.23366,0.67857,1,0.955,0.000986027,0.000986027,0.000986027
59,402.159,0.2094,0.8,1,0.80974,0.000983834,0.000983834,0.000983834
60,408.879,0.19911,0.75,1,1.006,0.000981642,0.000981642,0.000981642
61,415.564,0.20487,0.77143,1,0.92466,0.000979449,0.000979449,0.000979449
62,422.4,0.19245,0.72857,1,0.89853,0.000977257,0.000977257,0.000977257
63,429.156,0.18455,0.72857,1,1.18026,0.000975064,0.000975064,0.000975064
64,435.872,0.1444,0.76429,1,1.00862,0.000972872,0.000972872,0.000972872
65,442.515,0.20808,0.72143,1,1.04889,0.000970679,0.000970679,0.000970679
66,449.208,0.24113,0.71429,1,1.0052,0.000968487,0.000968487,0.000968487
67,455.955,0.21632,0.8,1,1.04167,0.000966294,0.000966294,0.000966294
68,462.888,0.27182,0.77143,1,1.01048,0.000964102,0.000964102,0.000964102
69,469.665,0.16906,0.73571,1,1.02432,0.000961909,0.000961909,0.000961909
70,476.352,0.1974,0.77143,1,0.85724,0.000959717,0.000959717,0.000959717
71,483.007,0.2143,0.74286,1,0.83114,0.000957524,0.000957524,0.000957524
72,489.698,0.2065,0.75,1,0.73174,0.000955332,0.000955332,0.000955332
73,496.406,0.20771,0.75714,1,0.74838,0.000953139,0.000953139,0.000953139
74,503.062,0.22432,0.74286,1,0.94551,0.000950946,0.000950946,0.000950946
75,509.724,0.21379,0.72857,1,0.87253,0.000948754,0.000948754,0.000948754
76,516.419,0.19124,0.74286,1,0.82572,0.000946561,0.000946561,0.000946561
77,523.101,0.16863,0.8,1,0.89023,0.000944369,0.000944369,0.000944369
78,529.879,0.16931,0.77857,1,0.83291,0.000942176,0.000942176,0.000942176
79,536.626,0.15948,0.77143,1,0.91681,0.000939984,0.000939984,0.000939984
80,543.653,0.22151,0.75,1,0.94865,0.000937791,0.000937791,0.000937791
81,550.35,0.15274,0.77143,1,0.75618,0.000935599,0.000935599,0.000935599
82,556.999,0.17906,0.78571,1,1.06293,0.000933406,0.000933406,0.000933406
83,563.702,0.21361,0.77857,1,0.96164,0.000931214,0.000931214,0.000931214
84,570.401,0.20096,0.75714,1,1.04718,0.000929021,0.000929021,0.000929021
85,577.082,0.14416,0.75,1,0.83899,0.000926829,0.000926829,0.000926829
86,583.769,0.16776,0.75,1,0.85309,0.000924636,0.000924636,0.000924636
87,590.618,0.11892,0.78571,1,1.01114,0.000922444,0.000922444,0.000922444
88,597.377,0.15575,0.75,1,0.89183,0.000920251,0.000920251,0.000920251
89,604.082,0.17665,0.75714,1,0.84865,0.000918059,0.000918059,0.000918059
90,610.827,0.16784,0.78571,1,0.90569,0.000915866,0.000915866,0.000915866
91,617.514,0.14768,0.77857,1,0.86433,0.000913674,0.000913674,0.000913674
92,624.218,0.15645,0.75714,1,1.02841,0.000911481,0.000911481,0.000911481
93,630.972,0.13562,0.72143,1,0.79047,0.000909289,0.000909289,0.000909289
94,637.69,0.1859,0.77143,1,0.84197,0.000907096,0.000907096,0.000907096
95,644.414,0.17287,0.73571,1,1.01363,0.000904904,0.000904904,0.000904904
96,651.186,0.12242,0.77857,1,1.16592,0.000902711,0.000902711,0.000902711
97,657.922,0.13973,0.8,1,0.97949,0.000900519,0.000900519,0.000900519
98,664.705,0.13738,0.79286,1,0.86688,0.000898326,0.000898326,0.000898326
99,671.424,0.19966,0.79286,1,1.17882,0.000896134,0.000896134,0.000896134
100,678.211,0.12694,0.8,1,0.69517,0.000893941,0.000893941,0.000893941
101,685.018,0.12042,0.79286,1,0.75925,0.000891749,0.000891749,0.000891749
102,691.723,0.10495,0.75714,1,0.91108,0.000889556,0.000889556,0.000889556
103,698.494,0.12721,0.8,1,0.89054,0.000887364,0.000887364,0.000887364
104,705.359,0.16571,0.78571,1,0.88968,0.000885171,0.000885171,0.000885171
105,712.096,0.109,0.77143,1,0.881,0.000882979,0.000882979,0.000882979
106,718.805,0.15906,0.78571,1,0.80272,0.000880786,0.000880786,0.000880786
107,725.514,0.12999,0.78571,1,0.85889,0.000878594,0.000878594,0.000878594
108,732.259,0.10901,0.75714,1,0.85046,0.000876401,0.000876401,0.000876401
109,738.947,0.13036,0.77857,1,0.9946,0.000874208,0.000874208,0.000874208
110,745.698,0.16061,0.82857,1,0.67384,0.000872016,0.000872016,0.000872016
111,752.51,0.10219,0.82143,1,0.71015,0.000869823,0.000869823,0.000869823
112,759.223,0.17791,0.77857,1,1.16264,0.000867631,0.000867631,0.000867631
113,765.932,0.12787,0.77143,1,1.08639,0.000865438,0.000865438,0.000865438
114,772.669,0.14381,0.75,1,1.16704,0.000863246,0.000863246,0.000863246
115,779.383,0.13814,0.77143,1,0.97768,0.000861053,0.000861053,0.000861053
116,786.115,0.16335,0.80714,1,0.78264,0.000858861,0.000858861,0.000858861
117,792.866,0.15205,0.78571,1,0.90278,0.000856668,0.000856668,0.000856668
118,799.611,0.12685,0.8,1,0.98225,0.000854476,0.000854476,0.000854476
119,806.375,0.11799,0.79286,1,0.94803,0.000852283,0.000852283,0.000852283
120,813.09,0.13376,0.77143,1,1.19131,0.000850091,0.000850091,0.000850091
121,819.868,0.09746,0.76429,1,0.95843,0.000847898,0.000847898,0.000847898
122,826.598,0.09194,0.72857,1,0.88554,0.000845706,0.000845706,0.000845706
123,833.33,0.12474,0.78571,1,1.0262,0.000843513,0.000843513,0.000843513
124,840.042,0.12576,0.75,1,0.97112,0.000841321,0.000841321,0.000841321
125,846.779,0.11214,0.80714,1,0.96404,0.000839128,0.000839128,0.000839128
126,853.539,0.11994,0.82143,1,1.03867,0.000836936,0.000836936,0.000836936
127,860.309,0.11125,0.80714,1,0.79602,0.000834743,0.000834743,0.000834743
128,867.103,0.11763,0.8,1,0.71294,0.000832551,0.000832551,0.000832551
129,873.888,0.12489,0.82143,1,0.69693,0.000830358,0.000830358,0.000830358
