epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.2303,1.28807,0.67857,1,0.86199,0.000361917,0.000361917,0.000361917
2,16.8508,0.89678,0.75714,1,0.93662,0.000708086,0.000708086,0.000708086
3,20.7563,0.78243,0.72857,1,0.74736,0.00102981,0.00102981,0.00102981
4,24.3967,0.69048,0.72857,1,0.82733,0.00100101,0.00100101,0.00100101
5,27.7944,0.62375,0.74286,1,0.78505,0.000964348,0.000964348,0.000964348
6,30.3014,0.59229,0.69286,1,0.7918,0.000927685,0.000927685,0.000927685
7,33.0814,0.53488,0.70714,1,0.72131,0.000891022,0.000891022,0.000891022
8,36.217,0.48368,0.77857,1,0.73348,0.000854359,0.000854359,0.000854359
9,39.1369,0.46572,0.73571,1,0.70521,0.000817696,0.000817696,0.000817696
10,41.7294,0.52832,0.74286,1,0.87041,0.000781033,0.000781033,0.000781033
